t_ms,frame,state,round,inner_r,outer_r,diff,signed_diff,signed_swapped,overlap_minimum,signed_cross,confidence,shrink_px_s,eta_ms,action
1788383242473,310,TRACKING,1,11.703,17.000,5.297,5.297,0,0,0,0.831,0.000,,
1788383242674,311,TRACKING,1,11.704,17.182,5.478,5.478,0,0,0,0.872,0.000,,
1788383242894,312,TRACKING,1,11.704,16.925,5.221,5.221,0,0,0,0.851,0.000,,
1788383243107,313,TRACKING,1,11.624,,,,0,0,0,0.824,0.000,,
1788383243325,314,CLICK_COOLDOWN,1,11.490,17.057,5.567,5.567,0,1,0,0.891,0.000,,Match detected during startup safety delay
1788383243539,315,CLICK_COOLDOWN,1,11.604,,,,0,1,0,0.862,0.000,,
1788383243760,316,CLICK_COOLDOWN,1,11.548,17.171,5.623,5.623,0,0,0,0.854,0.000,,
1788383243972,317,ROUND_COMPLETE,1,11.763,16.658,4.895,4.895,0,0,0,0.849,0.000,,
1788383244189,318,ROUND_COMPLETE,1,11.753,17.272,5.519,5.519,0,1,0,0.805,0.000,,
1788383244403,319,TRACKING,2,11.790,20.853,9.063,9.063,0,0,0,0.788,0.000,,
1788383244621,320,TRACKING,2,11.623,17.460,5.837,5.837,0,0,0,0.808,0.000,,
1788383244836,321,TRACKING,2,11.664,17.488,5.825,5.825,0,0,0,0.810,0.000,,
1788383245057,322,TRACKING,2,11.613,17.158,5.544,5.544,0,0,0,0.870,0.000,,
1788383245268,323,TRACKING,2,,,,,0,0,0,0.000,0.000,,
1788383245576,324,TRACKING,2,,,,,0,0,0,0.000,0.000,,
1788383245700,325,TRACKING,2,,,,,0,0,0,0.000,0.000,,
1788383245916,326,TRACKING,2,,,,,0,0,0,0.000,0.000,,
1788383246132,327,TRACKING,2,,,,,0,0,0,0.000,0.000,,
1788383246355,328,CLICK_COOLDOWN,2,19.478,25.681,6.204,6.204,0,1,0,0.627,0.000,,LED flash triggered
1788383246564,329,CLICK_COOLDOWN,2,19.259,30.420,11.161,11.161,0,0,0,0.814,0.000,,
1788383246781,330,CLICK_COOLDOWN,2,17.097,30.420,13.324,13.324,0,0,0,0.778,0.000,,
1788383246994,331,ROUND_COMPLETE,2,16.222,25.159,8.936,8.936,0,0,0,0.734,0.000,,
1788383247218,332,ROUND_COMPLETE,2,31.293,,,,0,0,0,0.856,0.000,,
1788383247429,333,TRACKING,3,22.189,30.420,8.231,8.231,0,0,0,0.780,0.000,,
1788383247650,334,TRACKING,3,22.189,30.420,8.231,8.231,0,0,0,0.782,0.000,,
1788383247860,335,TRACKING,3,23.471,,,,0,0,0,0.629,0.000,,
1788383248079,336,TRACKING,3,23.471,,,,0,0,0,0.669,0.000,,
1788383248293,337,TRACKING,3,16.603,30.420,13.817,13.817,0,0,0,0.814,0.000,,
1788383248515,338,TRACKING,3,22.312,,,,0,0,0,0.677,0.000,,
1788383248725,339,TRACKING,3,23.758,,,,0,0,0,0.670,0.000,,
1788383248942,340,TRACKING,3,23.579,,,,0,0,0,0.674,0.000,,
